episode,timestep,reward
72,2500,-23.5312
143,5000,-24.362
213,7500,-24.2643
286,10000,-24.4753
371,12500,-23.7618
454,15000,-23.0259
524,17500,-24.275
593,20000,-24.1797
673,22500,-23.4625
751,25000,-23.4904
835,27500,-23.9196
911,30000,-23.3967
994,32500,-23.7048
1069,35000,-23.314
1144,37500,-22.4893
1224,40000,-23.0544
1293,42500,-22.6399
1370,45000,-22.0136
1450,47500,-23.28
1528,50000,-20.5987
1605,52500,-22.0974
1682,55000,-22.8584
1750,57500,-20.5728
1815,60000,-20.4785
1878,62500,-21.5587
1948,65000,-21.7357
2020,67500,-17.7528
2094,70000,-19.8196
2165,72500,-22.8423
2224,75000,-20.1246
2295,77500,-20.9507
2352,80000,-19.7711
2418,82500,-16.9992
2489,85000,-18.2218
2564,87500,-19.2313
2643,90000,-20.7044
2720,92500,-17.4279
2791,95000,-16.3965
2860,97500,-18.1819
2929,100000,-14.3326
3001,102500,-18.3826
3071,105000,-14.8714
3146,107500,-17.962
3229,110000,-17.7639
3299,112500,-15.785
3382,115000,-19.4512
3454,117500,-18.7417
3523,120000,-16.8123
3586,122500,-15.696
3657,125000,-14.9683
3739,127500,-18.1689
3798,130000,-18.75
3880,132500,-18.1104
3946,135000,-17.5712
4008,137500,-17.2548
4078,140000,-14.775
4131,142500,-17.833
4204,145000,-14.5349
4275,147500,-15.0697
4338,150000,-13.5659
4419,152500,-11.1957
4495,155000,-18.2441
4569,157500,-13.7108
4636,160000,-16.7806
4704,162500,-17.4515
4783,165000,-16.0722
4849,167500,-16.0174
4925,170000,-12.2763
4997,172500,-12.4681
5070,175000,-19.7158
5149,177500,-15.9171
5222,180000,-13.0925
5301,182500,-14.7348
5377,185000,-13.6618
5456,187500,-13.5323
5542,190000,-14.7535
5618,192500,-11.8638
5692,195000,-12.6797
5769,197500,-14.2273
5849,200000,-14.645
5917,202500,-13.6912
5993,205000,-15.4928
6073,207500,-13.7906
6143,210000,-14.4471
6221,212500,-15.084
6298,215000,-9.4974
6381,217500,-12.1
6463,220000,-15.6201
6541,222500,-12.0494
6610,225000,-9.5036
6683,227500,-15.8034
6762,230000,-9.5399
6834,232500,-12.4479
6915,235000,-11.8605
6991,237500,-12.2164
7063,240000,-9.2729
7142,242500,-12.6778
7216,245000,-12.5345
7292,247500,-10.2947
7366,250000,-10.8804
7436,252500,-10.375
7495,255000,-12.7712
7565,257500,-15.6229
7630,260000,-13.0754
7699,262500,-12.121
7770,265000,-10.281
7839,267500,-14.2942
7915,270000,-12.4559
7982,272500,-13.5388
8058,275000,-11.8987
8125,277500,-9.6164
8199,280000,-9.5419
8268,282500,-12.1326
8336,285000,-13.8419
8405,287500,-12.6428
8475,290000,-10.38
8533,292500,-9.7164
8607,295000,-13.1297
8684,297500,-11.7565
8749,300000,-11.0731
8822,302500,-10.9658
8894,305000,-8.9257
8966,307500,-11.9576
9039,310000,-8.2568
9101,312500,-12.9879
9165,315000,-12.9414
9235,317500,-8.97
9307,320000,-6.2326
9388,322500,-11.5222
9458,325000,-8.3943
9523,327500,-8.6723
9585,330000,-14.1944
9659,332500,-9.1081
9739,335000,-7.7619
9788,337500,-14.2724
9858,340000,-9.655
9934,342500,-10.5296
9997,345000,-12.2246
10069,347500,-14.0521
10130,350000,-10.8205
10210,352500,-8.4506
10279,355000,-10.6572
10346,357500,-12.4963
10416,360000,-11.1829
10493,362500,-11.6383
10561,365000,-10.5324
10629,367500,-9.7926
10704,370000,-10.036
10779,372500,-11.392
10856,375000,-10.4799
10922,377500,-12.9962
10991,380000,-10.8601
11067,382500,-12.0605
11136,385000,-6.3507
11214,387500,-9.4378
11285,390000,-7.2099
11352,392500,-11.2784
11424,395000,-10.8243
11488,397500,-9.9078
11558,400000,-8.1264
11622,402500,-8.4086
11700,405000,-10.0891
11779,407500,-6.1082
11845,410000,-8.3856
11921,412500,-10.0382
11992,415000,-9.9401
12058,417500,-10.7871
12140,420000,-11.3067
12209,422500,-7.1043
12284,425000,-10.058
12364,427500,-11.2687
12432,430000,-9.7456
12504,432500,-11.6535
12584,435000,-7.07
12655,437500,-11.688
12729,440000,-10.5541
12808,442500,-10.4032
12888,445000,-9.91
12953,447500,-12.7646
13026,450000,-11.3473
13115,452500,-11.6208
13181,455000,-9.0742
13258,457500,-9.4448
13342,460000,-9.8732
13413,462500,-10.3514
13488,465000,-8.5927
13575,467500,-9.273
13642,470000,-13.1657
13722,472500,-8.7012
13805,475000,-9.9916
13875,477500,-9.665
13950,480000,-10.0607
14029,482500,-8.8266
14095,485000,-9.678
14163,487500,-9.5507
14238,490000,-7.0633
14318,492500,-6.5381
14403,495000,-9.1294
14475,497500,-8.675
14553,500000,-6.4276
14630,502500,-8.6792
14703,505000,-9.4116
14772,507500,-10.0087
14844,510000,-10.2396
14911,512500,-9.2567
14985,515000,-8.1196
15057,517500,-10.2868
15127,520000,-7.8407
15208,522500,-12.013
15274,525000,-6.8091
15347,527500,-7.2007
15423,530000,-12.0559
15491,532500,-11.3074
15555,535000,-10.5586
15629,537500,-9.052
15684,540000,-8.6273
15748,542500,-9.9203
15816,545000,-9.0507
15890,547500,-11.7959
15957,550000,-9.0731
16025,552500,-10.3654
16087,555000,-5.5427
16159,557500,-8.0236
16227,560000,-12.2544
16308,562500,-5.4877
16382,565000,-8.7527
16453,567500,-9.8204
16514,570000,-5.959
16589,572500,-7.324
16660,575000,-10.8662
16716,577500,-12.5804
16798,580000,-9.1878
16856,582500,-8.7707
16926,585000,-8.6779
17006,587500,-12.3706
17078,590000,-8.8556
17149,592500,-7.5007
17216,595000,-8.9396
17288,597500,-8.6333
17369,600000,-10.934
17431,602500,-9.5532
17513,605000,-9.6165
17598,607500,-10.2706
17681,610000,-7.6578
17741,612500,-11.6808
17819,615000,-12.5551
17901,617500,-11.0433
17965,620000,-11.8453
18049,622500,-12.6601
18117,625000,-11.5647
18195,627500,-7.1077
18278,630000,-5.2819
18358,632500,-10.1812
18432,635000,-12.8027
18506,637500,-7.8439
18598,640000,-1.9484
18664,642500,-10.9742
18730,645000,-8.1326
18802,647500,-6.7451
18882,650000,-5.8631
18954,652500,-9.009
19031,655000,-11.1351
19109,657500,-11.4994
19190,660000,-9.0438
19263,662500,-6.3616
19339,665000,-7.3072
19411,667500,-7.1799
19471,670000,-12.2675
19535,672500,-6.525
19601,675000,-13.9659
19670,677500,-8.079
19743,680000,-9.9308
19813,682500,-9.2414
19888,685000,-9.0267
19949,687500,-8.659
20026,690000,-9.7487
20106,692500,-9.9956
20174,695000,-10.1096
20242,697500,-5.9699
20314,700000,-9.8792
20384,702500,-5.7714
20455,705000,-6.4908
20521,707500,-10.2273
20594,710000,-9.9973
20675,712500,-8.4407
20739,715000,-10.5328
20809,717500,-10.1014
20876,720000,-13.3433
20953,722500,-7.3052
21030,725000,-9.6584
21107,727500,-8.2182
21172,730000,-12.66
21253,732500,-9.1617
21334,735000,-10.7728
21406,737500,-9.3764
21487,740000,-7.9889
21552,742500,-9.8185
21634,745000,-10.7463
21709,747500,-9.5173
21772,750000,-8.204
21848,752500,-10.2349
21930,755000,-9.0799
22011,757500,-9.142
22080,760000,-9.2674
22154,762500,-8.9419
22227,765000,-6.1726
22310,767500,-6.7205
