episode,timestep,reward
71,2500,-16.9451
139,5000,-16.7449
192,7500,-15.8283
254,10000,-16.3613
322,12500,-16.8456
383,15000,-16.2566
454,17500,-16.8859
506,20000,-15.7856
572,22500,-16.703
635,25000,-16.5238
697,27500,-16.4387
759,30000,-16.4589
822,32500,-16.704
886,35000,-16.5844
937,37500,-15.6206
995,40000,-16.3457
1051,42500,-16.0295
1114,45000,-16.5135
1175,47500,-16.1902
1232,50000,-16.1096
1299,52500,-16.5619
1354,55000,-16.0473
1394,57500,-14.4737
1474,60000,-17.2744
1533,62500,-16.4432
1597,65000,-16.5523
1670,67500,-17.0315
1730,70000,-16.3242
1796,72500,-16.6871
1854,75000,-16.3612
1909,77500,-16.1727
1958,80000,-15.7143
2006,82500,-14.9417
2056,85000,-15.771
2105,87500,-15.7357
2160,90000,-15.8727
2222,92500,-16.6274
2276,95000,-16.0981
2327,97500,-15.9412
2378,100000,-15.5833
2425,102500,-15.9638
2470,105000,-15.3689
2516,107500,-15.6348
2560,110000,-15.4443
2598,112500,-14.825
2644,115000,-15.713
2701,117500,-16.4456
2753,120000,-16.0904
2798,122500,-15.5367
2832,125000,-14.4956
2885,127500,-16.2113
2918,130000,-13.5727
2984,132500,-16.9735
3026,135000,-15.294
3068,137500,-14.881
3116,140000,-15.9927
3157,142500,-15.0293
3191,145000,-14.4824
3236,147500,-15.4722
3274,150000,-14.8776
3324,152500,-16.172
3357,155000,-14.7045
3395,157500,-14.4961
3436,160000,-14.7695
3467,162500,-13.9758
3507,165000,-15.2613
3545,167500,-14.9355
3590,170000,-15.9444
3635,172500,-15.0978
3675,175000,-14.9737
3723,177500,-15.8917
3759,180000,-14.4625
3802,182500,-15.1907
3845,185000,-15.5233
3887,187500,-15.5036
3930,190000,-15.7058
3963,192500,-13.7879
3993,195000,-12.5567
4044,197500,-16.4676
4083,200000,-14.7359
4122,202500,-14.6859
4152,205000,-13.1317
4186,207500,-14.1515
4224,210000,-14.6829
4262,212500,-15.0934
4295,215000,-13.8621
4325,217500,-13.3133
4376,220000,-15.9255
4420,222500,-15.45
4453,225000,-13.35
4489,227500,-14.5111
4522,230000,-14.7091
4551,232500,-14.2672
4587,235000,-14.4528
