episode,timestep,reward
9,2500,-37.7778
20,5000,-35.6455
34,7500,-32.5929
44,10000,-25.94
56,12500,-36.2833
66,15000,-37.95
76,17500,-24.94
87,20000,-38.1455
96,22500,-32.5
107,25000,-32.7091
115,27500,-32.4375
128,30000,-34.5385
138,32500,-34.35
148,35000,-25.49
159,37500,-36.0455
170,40000,-32.2909
182,42500,-33.225
192,45000,-33.83
203,47500,-32.3909
214,50000,-34.3
226,52500,-32.2
234,55000,-32.55
245,57500,-36.3636
255,60000,-34.85
264,62500,-37.4889
273,65000,-40.0
283,67500,-34.77
293,70000,-29.56
303,72500,-38.0
312,75000,-28.6667
322,77500,-37.65
332,80000,-37.87
343,82500,-32.7273
354,85000,-38.1818
364,87500,-28.21
375,90000,-33.6545
385,92500,-30.25
394,95000,-31.4444
404,97500,-33.15
415,100000,-29.7091
426,102500,-31.7727
436,105000,-29.39
446,107500,-33.8
457,110000,-32.1091
466,112500,-31.7
476,115000,-27.03
486,117500,-26.86
497,120000,-31.9091
508,122500,-19.4
519,125000,-33.6455
530,127500,-35.9636
540,130000,-29.6
549,132500,-32.2778
561,135000,-24.1667
571,137500,-29.5
582,140000,-25.2909
595,142500,-23.9692
606,145000,-26.1
616,147500,-26.84
627,150000,-22.7091
636,152500,-34.8778
647,155000,-36.5636
659,157500,-31.9333
669,160000,-31.43
679,162500,-38.0
690,165000,-37.1091
700,167500,-37.65
711,170000,-30.5818
721,172500,-28.28
732,175000,-24.4636
744,177500,-22.725
756,180000,-24.55
768,182500,-22.5583
780,185000,-25.6583
796,187500,-13.2812
809,190000,-24.6
822,192500,-16.5462
835,195000,-13.1231
848,197500,-21.6154
861,200000,-23.4
875,202500,-17.8714
890,205000,-16.4867
906,207500,-14.125
925,210000,-11.3053
940,212500,-12.4067
955,215000,-12.1533
972,217500,-10.0294
990,220000,-10.4667
1006,222500,-13.4375
1023,225000,-9.4706
1044,227500,-14.181
1061,230000,-9.3765
1078,232500,-5.3765
1092,235000,-8.3714
1113,237500,-6.919
1130,240000,-9.7706
1149,242500,-4.7263
1169,245000,-5.905
1193,247500,-0.5042
1212,250000,-4.3474
1232,252500,-2.255
1259,255000,0.3444
1286,257500,0.7667
1314,260000,1.4786
1346,262500,1.9031
1374,265000,1.1857
1412,267500,3.2947
1447,270000,2.7714
1480,272500,2.4242
1516,275000,3.0278
1548,277500,2.3719
1583,280000,2.7514
1619,282500,3.1361
1659,285000,3.7
1696,287500,3.2243
1736,290000,3.7425
1780,292500,4.3023
1821,295000,3.9366
1865,297500,4.3159
1911,300000,4.5283
1951,302500,3.8325
1995,305000,4.2159
2041,307500,4.6217
2083,310000,4.0119
2125,312500,4.1595
2171,315000,4.4348
2214,317500,4.3233
2254,320000,3.61
2303,322500,4.9082
2348,325000,4.4822
2390,327500,4.0833
2437,330000,4.6809
2484,332500,4.6872
2530,335000,4.4913
2576,337500,4.637
2624,340000,4.7375
2667,342500,4.2628
2716,345000,4.8571
2764,347500,4.8125
2810,350000,4.5109
2859,352500,4.8755
2904,355000,4.4444
2956,357500,5.2404
3002,360000,4.5848
3049,362500,4.7383
3097,365000,4.7
3142,367500,4.46
3191,370000,4.8469
3239,372500,4.7958
3288,375000,4.8918
3338,377500,5.046
3386,380000,4.7688
3434,382500,4.8208
3483,385000,4.9204
3530,387500,4.7213
3579,390000,4.8837
3629,392500,4.904
3683,395000,5.3852
3726,397500,4.2791
3777,400000,5.1294
3824,402500,4.5957
3872,405000,4.7979
3919,407500,4.6872
3965,410000,4.5826
4017,412500,5.1692
4063,415000,4.5717
4112,417500,4.8653
4159,420000,4.8064
4206,422500,4.5745
4254,425000,4.7438
4301,427500,4.7085
4347,430000,4.613
4398,432500,5.0667
4444,435000,4.5391
4494,437500,5.006
4545,440000,5.1333
4592,442500,4.6553
4640,445000,4.7583
4688,447500,4.8333
4733,450000,4.4511
4785,452500,5.2365
