episode,timestep,reward
57,2500,-25.8193
127,5000,-24.8657
196,7500,-24.8029
259,10000,-25.2968
321,12500,-25.25
388,15000,-24.9791
442,17500,-26.1833
506,20000,-25.3016
560,22500,-26.1815
617,25000,-25.8561
674,27500,-25.6965
743,30000,-24.9899
797,32500,-26.2556
859,35000,-25.2468
922,37500,-25.2825
980,40000,-25.6259
1051,42500,-24.5352
1119,45000,-24.625
1192,47500,-24.3384
1247,50000,-25.5618
1316,52500,-24.5928
1386,55000,-24.4486
1441,57500,-25.7382
1504,60000,-25.0444
1563,62500,-25.7203
1637,65000,-24.3081
1714,67500,-24.2364
1783,70000,-24.6957
1839,72500,-25.9232
1911,75000,-24.6403
1973,77500,-25.179
2055,80000,-23.9622
2134,82500,-24.0291
2220,85000,-23.593
2290,87500,-24.5143
2355,90000,-24.9323
2413,92500,-25.4931
2475,95000,-24.9
2542,97500,-24.5716
2609,100000,-24.5403
2665,102500,-25.4768
2740,105000,-23.9453
2827,107500,-23.5161
2903,110000,-23.9132
2964,112500,-24.877
3027,115000,-24.6317
3099,117500,-24.3375
3175,120000,-23.9
3245,122500,-24.2514
3306,125000,-24.8492
3373,127500,-24.4881
3445,130000,-24.1625
3502,132500,-25.2053
3558,135000,-25.1696
3613,137500,-25.5055
3681,140000,-24.3221
3750,142500,-24.3478
3819,145000,-24.2087
3881,147500,-24.8597
3940,150000,-24.9847
4005,152500,-24.4954
4067,155000,-24.7774
4122,157500,-25.3982
4180,160000,-25.2552
4243,162500,-24.7127
4305,165000,-24.8758
4352,167500,-26.1298
4405,170000,-25.7208
4469,172500,-24.6875
4531,175000,-24.4887
4579,177500,-26.3021
4623,180000,-26.7909
4668,182500,-26.5178
4729,185000,-24.7902
4775,187500,-26.2652
4826,190000,-25.8098
4865,192500,-27.6154
4921,195000,-24.8768
4979,197500,-25.15
5027,200000,-26.0021
5079,202500,-25.4788
5130,205000,-25.5451
5181,207500,-25.5255
5224,210000,-26.3233
5275,212500,-25.5902
5317,215000,-26.4833
5367,217500,-25.672
5419,220000,-25.2942
5469,222500,-25.638
5503,225000,-28.2912
5546,227500,-26.5279
5580,230000,-28.0118
5618,232500,-27.3632
5654,235000,-27.8139
5692,237500,-27.6947
5724,240000,-28.8062
5759,242500,-27.9571
5799,245000,-27.13
5845,247500,-26.2609
5881,250000,-27.8833
5908,252500,-29.9
5939,255000,-29.5774
5966,257500,-30.5111
5994,260000,-30.25
6022,262500,-30.0107
6052,265000,-29.1
6079,267500,-30.9593
6104,270000,-31.216
6130,272500,-31.2231
6161,275000,-29.2032
6185,277500,-31.8708
6212,280000,-30.3963
6235,282500,-32.2348
6255,285000,-34.255
6281,287500,-31.25
6301,290000,-34.165
6324,292500,-32.4783
6342,295000,-35.7167
6362,297500,-33.615
6386,300000,-32.7125
6409,302500,-31.4739
6434,305000,-31.54
6457,307500,-32.4565
6479,310000,-32.4682
6500,312500,-33.0
6519,315000,-33.8789
6538,317500,-34.5105
6559,320000,-33.5857
6579,322500,-34.48
6603,325000,-31.2208
6623,327500,-33.63
6641,330000,-34.8222
6663,332500,-32.5273
6681,335000,-35.2056
6702,337500,-33.0762
6723,340000,-33.219
6745,342500,-32.4364
6764,345000,-33.5684
6785,347500,-33.6476
6806,350000,-33.2286
6828,352500,-31.7545
6846,355000,-35.2222
6866,357500,-34.055
6885,360000,-34.2842
6903,362500,-35.0056
6926,365000,-31.5565
6942,367500,-36.8188
6963,370000,-33.319
6983,372500,-33.23
7004,375000,-33.0095
7022,377500,-34.9333
7044,380000,-32.3
7060,382500,-37.5313
7081,385000,-32.6762
7102,387500,-33.0714
7122,390000,-34.405
7139,392500,-35.5059
7158,395000,-34.7947
7177,397500,-34.2316
7195,400000,-34.95
7214,402500,-34.7474
7233,405000,-34.0105
7250,407500,-35.8176
7269,410000,-34.4526
7290,412500,-32.7286
7306,415000,-37.1813
7322,417500,-36.875
7336,420000,-39.0143
7353,422500,-37.0059
7368,425000,-37.7933
7389,427500,-32.4238
7407,430000,-35.1778
7422,432500,-38.6
7438,435000,-36.5188
7455,437500,-35.1471
7472,440000,-36.7941
7487,442500,-37.3333
7501,445000,-39.7286
7518,447500,-35.5353
7533,450000,-37.4133
7549,452500,-38.1438
7563,455000,-38.0071
7579,457500,-37.8125
7596,460000,-35.7176
7610,462500,-39.0929
7624,465000,-39.2214
7639,467500,-37.22
7657,470000,-35.2556
7672,472500,-37.4467
7687,475000,-37.6267
7703,477500,-36.4188
7717,480000,-39.4143
7732,482500,-38.3133
7746,485000,-38.8357
7759,487500,-39.7923
7778,490000,-33.9947
7793,492500,-38.6467
7808,495000,-36.78
7824,497500,-37.6438
7840,500000,-36.25
7857,502500,-35.7118
7873,505000,-37.2188
7885,507500,-41.5833
7904,510000,-35.0789
7917,512500,-40.0923
7934,515000,-36.9
7949,517500,-38.0067
7963,520000,-39.8857
7977,522500,-38.9
7991,525000,-38.9429
8004,527500,-41.9692
8019,530000,-38.7533
8033,532500,-39.2357
8048,535000,-37.62
8061,537500,-42.0385
8074,540000,-41.2692
8089,542500,-37.8467
8105,545000,-36.5875
8118,547500,-41.4923
8133,550000,-37.9
8149,552500,-36.6563
8164,555000,-37.1867
8177,557500,-41.2692
8192,560000,-38.4
8206,562500,-39.1143
8219,565000,-39.5385
8233,567500,-39.75
8248,570000,-37.1067
8264,572500,-37.5875
8278,575000,-37.6857
8292,577500,-39.9357
8305,580000,-39.8692
8319,582500,-39.8929
8333,585000,-38.5214
8346,587500,-41.2231
8362,590000,-36.2313
8378,592500,-36.2688
8395,595000,-35.8941
8410,597500,-37.9333
8423,600000,-39.8
8437,602500,-39.2214
8452,605000,-37.9133
8466,607500,-38.3571
8479,610000,-41.0615
8494,612500,-37.0667
8508,615000,-39.7214
8523,617500,-36.84
8536,620000,-39.5077
8554,622500,-35.5222
8567,625000,-39.4692
8580,627500,-40.9923
8596,630000,-36.2125
8613,632500,-35.2529
8626,635000,-39.6692
8641,637500,-37.4533
8658,640000,-36.3882
8673,642500,-36.92
8688,645000,-38.0267
8701,647500,-39.5385
8716,650000,-38.58
8729,652500,-39.4231
8742,655000,-39.5077
8756,657500,-39.5929
8770,660000,-38.9929
8784,662500,-38.2429
8797,665000,-41.0692
8811,667500,-38.1786
8828,670000,-35.1882
8843,672500,-38.4733
8856,675000,-38.7615
8870,677500,-39.4857
8884,680000,-38.6357
8901,682500,-36.1412
8913,685000,-41.1333
8927,687500,-39.6286
8939,690000,-41.0833
8953,692500,-38.3
8966,695000,-41.1154
8979,697500,-39.5692
8993,700000,-39.1429
9011,702500,-34.2944
9028,705000,-36.3765
9043,707500,-37.02
9058,710000,-38.54
9074,712500,-35.8875
9093,715000,-33.6789
9107,717500,-39.65
9120,720000,-39.3385
9136,722500,-37.3563
9151,725000,-37.6133
9163,727500,-40.7917
9177,730000,-39.5429
9189,732500,-41.0667
9204,735000,-38.46
9217,737500,-39.5846
