episode,timestep,reward
65,2500,-16.2182
121,5000,-15.5625
192,7500,-16.5286
257,10000,-16.1276
323,12500,-16.2441
397,15000,-16.6684
455,17500,-15.6808
519,20000,-16.1349
569,22500,-15.0211
636,25000,-16.2776
700,27500,-16.1351
754,30000,-15.3909
804,32500,-15.204
868,35000,-16.0224
929,37500,-15.9651
994,40000,-16.1246
1056,42500,-15.7047
1125,45000,-16.4291
1191,47500,-16.2058
1262,50000,-16.4986
1332,52500,-16.5331
1399,55000,-16.1733
1449,57500,-15.0856
1504,60000,-15.6379
1574,62500,-16.2954
1630,65000,-15.6611
1690,67500,-15.7951
1743,70000,-15.4934
1790,72500,-14.4449
1843,75000,-15.5122
1896,77500,-15.1185
1949,80000,-14.9806
2008,82500,-15.7869
2073,85000,-16.1475
2124,87500,-15.2544
2178,90000,-15.3035
2222,92500,-14.4103
2271,95000,-14.8533
2321,97500,-15.1542
2383,100000,-16.1598
2444,102500,-15.6881
2501,105000,-15.6049
2557,107500,-15.6195
2595,110000,-13.4549
2646,112500,-15.1406
2693,115000,-14.1901
2738,117500,-14.5075
2791,120000,-15.2641
2843,122500,-15.2459
2874,125000,-11.7466
2916,127500,-13.7396
2955,130000,-13.2812
3010,132500,-15.4899
3062,135000,-15.0946
3114,137500,-15.2188
3143,140000,-10.0678
3188,142500,-14.813
3224,145000,-12.033
3260,147500,-13.6156
3301,150000,-12.9862
3334,152500,-12.2085
3368,155000,-12.5355
3404,157500,-12.8544
3453,160000,-14.5276
3501,162500,-15.1122
3539,165000,-13.3271
3576,167500,-13.114
3612,170000,-11.9699
3659,172500,-14.6042
3707,175000,-14.8262
3743,177500,-13.1473
3775,180000,-11.8118
3819,182500,-13.8699
3853,185000,-12.5479
3885,187500,-11.4102
3917,190000,-12.7379
3941,192500,-9.2954
3981,195000,-13.5099
4022,197500,-13.3778
4057,200000,-12.3618
4087,202500,-11.8314
4120,205000,-12.512
4156,207500,-12.3216
4194,210000,-12.8416
4230,212500,-13.7341
4263,215000,-10.5725
4298,217500,-12.3603
4341,220000,-14.078
4379,222500,-13.5219
4413,225000,-12.0136
4446,227500,-12.1737
4483,230000,-12.9295
4520,232500,-13.1952
4566,235000,-14.5931
4594,237500,-10.9924
4625,240000,-11.4209
4660,242500,-13.0067
4690,245000,-10.741
4720,247500,-10.9377
4752,250000,-10.5009
4782,252500,-9.6761
4824,255000,-13.9617
4860,257500,-12.412
4883,260000,-6.4874
4916,262500,-11.9086
4947,265000,-9.8718
4976,267500,-10.2714
5005,270000,-9.7249
5039,272500,-11.9739
5076,275000,-12.6907
5111,277500,-12.2605
5146,280000,-11.8744
5172,282500,-9.9798
5194,285000,-4.4341
5219,287500,-8.3184
5246,290000,-9.9756
5273,292500,-9.668
5307,295000,-11.028
5343,297500,-11.3653
5376,300000,-11.6045
5408,302500,-11.7697
5443,305000,-12.3321
5477,307500,-12.0493
5502,310000,-9.0819
5529,312500,-7.1268
5562,315000,-11.9198
5598,317500,-12.8809
5625,320000,-10.0193
5661,322500,-11.2869
5696,325000,-12.6431
5732,327500,-12.1019
5754,330000,-7.539
5778,332500,-7.2773
5800,335000,-4.114
5822,337500,-7.6513
5840,340000,0.5677
5867,342500,-9.1884
5887,345000,-3.8411
5911,347500,-7.0186
5943,350000,-9.9384
5963,352500,-5.6584
6000,355000,-12.4786
6029,357500,-8.7209
6055,360000,-9.6947
6077,362500,-3.9984
6105,365000,-10.9438
6132,367500,-9.9506
6159,370000,-8.9949
6186,372500,-8.123
6213,375000,-9.9689
6246,377500,-9.8448
6261,380000,-0.9139
6289,382500,-10.2244
6307,385000,-0.3346
6332,387500,-8.592
6347,390000,1.0575
6371,392500,-5.7553
6391,395000,-3.5007
6421,397500,-9.7357
6439,400000,-2.1315
6463,402500,-3.6884
