episode,timestep,reward
8,2500,-38.0875
17,5000,-37.8611
27,7500,-26.04
35,10000,-37.15
44,12500,-41.7
52,15000,-36.3625
61,17500,-37.4722
70,20000,-39.8
79,22500,-32.0722
87,25000,-43.1063
95,27500,-39.875
104,30000,-37.7722
113,32500,-32.3111
122,35000,-39.05
131,37500,-30.6778
142,40000,-23.2045
151,42500,-28.5611
159,45000,-37.1375
168,47500,-40.9833
177,50000,-28.3833
186,52500,-35.0222
195,55000,-38.3833
203,57500,-37.9625
212,60000,-36.8389
221,62500,-33.5
230,65000,-31.2444
240,67500,-29.035
249,70000,-35.5833
258,72500,-34.6056
267,75000,-36.8111
275,77500,-33.3125
285,80000,-28.24
294,82500,-33.5056
302,85000,-41.6313
312,87500,-30.315
322,90000,-19.055
332,92500,-27.87
341,95000,-33.4056
351,97500,-25.09
360,100000,-32.3444
371,102500,-20.5
380,105000,-29.4722
390,107500,-20.45
399,110000,-29.7778
409,112500,-23.09
417,115000,-35.8688
427,117500,-24.345
438,120000,-21.0591
448,122500,-26.74
458,125000,-25.73
469,127500,-20.0591
480,130000,-20.2682
491,132500,-14.3636
502,135000,-26.9409
510,137500,-32.2813
520,140000,-28.21
529,142500,-24.9167
540,145000,-21.6
550,147500,-23.77
560,150000,-25.575
571,152500,-15.4682
581,155000,-21.62
591,157500,-28.12
601,160000,-26.28
610,162500,-27.0778
622,165000,-14.2958
633,167500,-22.35
643,170000,-23.365
656,172500,-7.2885
669,175000,-10.5308
681,177500,-17.8417
692,180000,-18.1227
703,182500,-17.6273
